Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Inward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Custom field (Actual Result),Custom field (Development),Custom field (Expected Result),Custom field (Goals),Custom field (Issue color),Custom field (Priority),Custom field (Rank),Custom field (Start date),Custom field (Story point estimate),Custom field (Team),Custom field (Vulnerability),Status Category,Status Category Changed
Verify that user can submit a return request with valid data,DG-127,10401,Task,To Do,DG,LambdaTest,software,Ziad Mohey,712020:7bd7cf13-1eba-45c7-889f-d8a6377a3cd8,,Medium,,,,GonDy,639231f200cb2fc3f98c43d5,GonDy,639231f200cb2fc3f98c43d5,23/Apr/26 7:21 PM,23/Apr/26 7:21 PM,,,,0,Test ID: TCUA_98Preconditions:User is on the Return request form.Test Steps:Verify pre-filled fields are correctTest Data:First Name: z | Last Name: m | Email: ziadmohye61@gmail.com | Telephone: 01023573885Expected Result:NoneActual Result:NoneStatus:Pass,,GonDy,639231f200cb2fc3f98c43d5,,,,,,,,,,,,,,,,,,,,,,0|i000un:,,,,,To Do,23/Apr/26 7:21 PM
Verify that the Return request form loads with pre-filled user information,DG-126,10400,Task,To Do,DG,LambdaTest,software,Ziad Mohey,712020:7bd7cf13-1eba-45c7-889f-d8a6377a3cd8,,Medium,,,,GonDy,639231f200cb2fc3f98c43d5,GonDy,639231f200cb2fc3f98c43d5,23/Apr/26 7:21 PM,23/Apr/26 7:21 PM,,,,0,Test ID: TCUA_97Preconditions:User is logged in.Test Steps:Navigate to the Product Returns pageTest Data:—Expected Result:NoneActual Result:NoneStatus:Pass,,GonDy,639231f200cb2fc3f98c43d5,,,,,,,,,,,,,,,,,,,,,,0|i000uf:,,,,,To Do,23/Apr/26 7:21 PM
Verify that Return Details section shows correct information,DG-125,10399,Task,To Do,DG,LambdaTest,software,Ziad Mohey,712020:7bd7cf13-1eba-45c7-889f-d8a6377a3cd8,,Medium,,,,GonDy,639231f200cb2fc3f98c43d5,GonDy,639231f200cb2fc3f98c43d5,23/Apr/26 7:21 PM,23/Apr/26 7:21 PM,,,,0,Test ID: TCUA_96Preconditions:User is viewing a return detail page.Test Steps:Navigate to Product Returns pageTest Data:—Expected Result:NoneActual Result:NoneStatus:Pass,,GonDy,639231f200cb2fc3f98c43d5,,,,,,,,,,,,,,,,,,,,,,0|i000u7:,,,,,To Do,23/Apr/26 7:21 PM
Verify that user can view the details of a return request,DG-124,10398,Task,To Do,DG,LambdaTest,software,Ziad Mohey,712020:7bd7cf13-1eba-45c7-889f-d8a6377a3cd8,,Medium,,,,GonDy,639231f200cb2fc3f98c43d5,GonDy,639231f200cb2fc3f98c43d5,23/Apr/26 7:21 PM,23/Apr/26 7:21 PM,,,,0,Test ID: TCUA_95Preconditions:User has at least one return request.Test Steps:Navigate to the Product Returns pageTest Data:—Expected Result:NoneActual Result:NoneStatus:Pass,,GonDy,639231f200cb2fc3f98c43d5,,,,,,,,,,,,,,,,,,,,,,0|i000tz:,,,,,To Do,23/Apr/26 7:21 PM
Verify that a submitted return request appears in the returns list,DG-123,10397,Task,To Do,DG,LambdaTest,software,Ziad Mohey,712020:7bd7cf13-1eba-45c7-889f-d8a6377a3cd8,,Medium,,,,GonDy,639231f200cb2fc3f98c43d5,GonDy,639231f200cb2fc3f98c43d5,23/Apr/26 7:21 PM,23/Apr/26 7:21 PM,,,,0,"Test ID: TCUA_94Preconditions:User has submitted at least one return request.Test Steps:Navigate to the Product Returns pageTest Data:—Expected Result:Return is listed with correct Return ID, Status (e.g. Awaiting Products), Date Added, Order ID, and Customer name. Pagination shows correctly.Actual Result:Return is listed with correct Return ID, Status (e.g. Awaiting Products), Date Added, Order ID, and Customer name. Pagination shows correctly.Status:Pass",,GonDy,639231f200cb2fc3f98c43d5,,,,,,,,,,,,,,,,,,,,,,0|i000tr:,,,,,To Do,23/Apr/26 7:21 PM
Verify that Product Returns page loads correctly,DG-122,10396,Task,To Do,DG,LambdaTest,software,Ziad Mohey,712020:7bd7cf13-1eba-45c7-889f-d8a6377a3cd8,,Medium,,,,GonDy,639231f200cb2fc3f98c43d5,GonDy,639231f200cb2fc3f98c43d5,23/Apr/26 7:21 PM,23/Apr/26 7:21 PM,,,,0,Test ID: TCUA_93Preconditions:User is logged in.Test Steps:Navigate to My Account pageTest Data:—Expected Result:NoneActual Result:NoneStatus:Pass,,GonDy,639231f200cb2fc3f98c43d5,,,,,,,,,,,,,,,,,,,,,,0|i000tj:,,,,,To Do,23/Apr/26 7:21 PM
Verify that user can unsubscribe from the newsletter,DG-121,10395,Task,To Do,DG,LambdaTest,software,Ziad Mohey,712020:7bd7cf13-1eba-45c7-889f-d8a6377a3cd8,,Medium,,,,GonDy,639231f200cb2fc3f98c43d5,GonDy,639231f200cb2fc3f98c43d5,23/Apr/26 7:21 PM,23/Apr/26 7:21 PM,,,,0,Test ID: TCUA_92Preconditions:User is currently subscribed to the newsletter.Test Steps:Navigate to the Newsletter subscription pageTest Data:—Expected Result:NoneActual Result:NoneStatus:Pass,,GonDy,639231f200cb2fc3f98c43d5,,,,,,,,,,,,,,,,,,,,,,0|i000tb:,,,,,To Do,23/Apr/26 7:21 PM
Verify that user can subscribe to the newsletter,DG-120,10394,Task,To Do,DG,LambdaTest,software,Ziad Mohey,712020:7bd7cf13-1eba-45c7-889f-d8a6377a3cd8,,Medium,,,,GonDy,639231f200cb2fc3f98c43d5,GonDy,639231f200cb2fc3f98c43d5,23/Apr/26 7:21 PM,23/Apr/26 7:21 PM,,,,0,Test ID: TCUA_91Preconditions:User is on the Newsletter subscription page.Test Steps:Select the 'Yes' radio buttonTest Data:SubscribeExpected Result:NoneActual Result:NoneStatus:Pass,,GonDy,639231f200cb2fc3f98c43d5,,,,,,,,,,,,,,,,,,,,,,0|i000t3:,,,,,To Do,23/Apr/26 7:21 PM
Verify that Newsletter subscription page loads correctly,DG-119,10393,Task,To Do,DG,LambdaTest,software,Ziad Mohey,712020:7bd7cf13-1eba-45c7-889f-d8a6377a3cd8,,Medium,,,,GonDy,639231f200cb2fc3f98c43d5,GonDy,639231f200cb2fc3f98c43d5,23/Apr/26 7:21 PM,23/Apr/26 7:21 PM,,,,0,Test ID: TCUA_90Preconditions:User is logged in.Test Steps:Navigate to My Account pageTest Data:—Expected Result:NoneActual Result:NoneStatus:Pass,,GonDy,639231f200cb2fc3f98c43d5,,,,,,,,,,,,,,,,,,,,,,0|i000sv:,,,,,To Do,23/Apr/26 7:21 PM
Verify that user can add a wish list item to the cart,DG-118,10392,Task,To Do,DG,LambdaTest,software,Ziad Mohey,712020:7bd7cf13-1eba-45c7-889f-d8a6377a3cd8,,Medium,,,,GonDy,639231f200cb2fc3f98c43d5,GonDy,639231f200cb2fc3f98c43d5,23/Apr/26 7:21 PM,23/Apr/26 7:21 PM,,,,0,Test ID: TCUA_89Preconditions:User has at least one product in the Wish List.Test Steps:Navigate to the Wish List pageTest Data:—Expected Result:NoneActual Result:NoneStatus:Pass,,GonDy,639231f200cb2fc3f98c43d5,,,,,,,,,,,,,,,,,,,,,,0|i000sn:,,,,,To Do,23/Apr/26 7:21 PM
Verify that user can remove a product from the wish list,DG-117,10391,Task,To Do,DG,LambdaTest,software,Ziad Mohey,712020:7bd7cf13-1eba-45c7-889f-d8a6377a3cd8,,Medium,,,,GonDy,639231f200cb2fc3f98c43d5,GonDy,639231f200cb2fc3f98c43d5,23/Apr/26 7:21 PM,23/Apr/26 7:21 PM,,,,0,Test ID: TCUA_88Preconditions:User has at least one product saved in the Wish List.Test Steps:Navigate to the Wish List pageTest Data:—Expected Result:NoneActual Result:NoneStatus:Pass,,GonDy,639231f200cb2fc3f98c43d5,,,,,,,,,,,,,,,,,,,,,,0|i000sf:,,,,,To Do,23/Apr/26 7:21 PM
Verify that user can add a product to the wish list,DG-116,10390,Task,To Do,DG,LambdaTest,software,Ziad Mohey,712020:7bd7cf13-1eba-45c7-889f-d8a6377a3cd8,,Medium,,,,GonDy,639231f200cb2fc3f98c43d5,GonDy,639231f200cb2fc3f98c43d5,23/Apr/26 7:21 PM,23/Apr/26 7:21 PM,,,,0,Test ID: TCUA_87Preconditions:User is logged in and on a product detail page.Test Steps:Navigate to any product detail pageTest Data:—Expected Result:NoneActual Result:NoneStatus:Pass,,GonDy,639231f200cb2fc3f98c43d5,,,,,,,,,,,,,,,,,,,,,,0|i000s7:,,,,,To Do,23/Apr/26 7:21 PM
Verify that Wish List page loads correctly,DG-115,10389,Task,To Do,DG,LambdaTest,software,Ziad Mohey,712020:7bd7cf13-1eba-45c7-889f-d8a6377a3cd8,,Medium,,,,GonDy,639231f200cb2fc3f98c43d5,GonDy,639231f200cb2fc3f98c43d5,23/Apr/26 7:21 PM,23/Apr/26 7:21 PM,,,,0,Test ID: TCUA_86Preconditions:User is logged in.Test Steps:Navigate to My Account pageTest Data:—Expected Result:NoneActual Result:NoneStatus:Pass,,GonDy,639231f200cb2fc3f98c43d5,,,,,,,,,,,,,,,,,,,,,,0|i000rz:,,,,,To Do,23/Apr/26 7:21 PM
Verify that user can edit an existing address,DG-114,10388,Task,To Do,DG,LambdaTest,software,Ziad Mohey,712020:7bd7cf13-1eba-45c7-889f-d8a6377a3cd8,,Medium,,,,GonDy,639231f200cb2fc3f98c43d5,GonDy,639231f200cb2fc3f98c43d5,23/Apr/26 7:21 PM,23/Apr/26 7:21 PM,,,,0,Test ID: TCUA_85Preconditions:User has at least one saved address.Test Steps:Navigate to the Address Book pageTest Data:—Expected Result:NoneActual Result:NoneStatus:Pass,,GonDy,639231f200cb2fc3f98c43d5,,,,,,,,,,,,,,,,,,,,,,0|i000rr:,,,,,To Do,23/Apr/26 7:21 PM
Verify that user can delete an existing address,DG-113,10387,Task,To Do,DG,LambdaTest,software,Ziad Mohey,712020:7bd7cf13-1eba-45c7-889f-d8a6377a3cd8,,Medium,,,,GonDy,639231f200cb2fc3f98c43d5,GonDy,639231f200cb2fc3f98c43d5,23/Apr/26 7:21 PM,23/Apr/26 7:21 PM,,,,0,Test ID: TCUA_84Preconditions:User has at least one saved address.Test Steps:Navigate to the Address Book pageTest Data:—Expected Result:NoneActual Result:NoneStatus:Pass,,GonDy,639231f200cb2fc3f98c43d5,,,,,,,,,,,,,,,,,,,,,,0|i000rj:,,,,,To Do,23/Apr/26 7:21 PM
Verify that user can add a new address successfully,DG-112,10386,Task,To Do,DG,LambdaTest,software,Ziad Mohey,712020:7bd7cf13-1eba-45c7-889f-d8a6377a3cd8,,Medium,,,,GonDy,639231f200cb2fc3f98c43d5,GonDy,639231f200cb2fc3f98c43d5,23/Apr/26 7:21 PM,23/Apr/26 7:21 PM,,,,0,Test ID: TCUA_83Preconditions:User is on the Address Book page.Test Steps:Click 'New Address'Test Data:—Expected Result:NoneActual Result:NoneStatus:Pass,,GonDy,639231f200cb2fc3f98c43d5,,,,,,,,,,,,,,,,,,,,,,0|i000rb:,,,,,To Do,23/Apr/26 7:21 PM
Verify that Address Book page loads correctly,DG-111,10385,Task,To Do,DG,LambdaTest,software,Ziad Mohey,712020:7bd7cf13-1eba-45c7-889f-d8a6377a3cd8,,Medium,,,,GonDy,639231f200cb2fc3f98c43d5,GonDy,639231f200cb2fc3f98c43d5,23/Apr/26 7:21 PM,23/Apr/26 7:21 PM,,,,0,Test ID: TCUA_82Preconditions:User is logged in.Test Steps:Navigate to My Account pageTest Data:—Expected Result:NoneActual Result:NoneStatus:Pass,,GonDy,639231f200cb2fc3f98c43d5,,,,,,,,,,,,,,,,,,,,,,0|i000r3:,,,,,To Do,23/Apr/26 7:21 PM
Verify that the old password cannot be used after changing it,DG-110,10384,Task,To Do,DG,LambdaTest,software,Ziad Mohey,712020:7bd7cf13-1eba-45c7-889f-d8a6377a3cd8,,Medium,,,,GonDy,639231f200cb2fc3f98c43d5,GonDy,639231f200cb2fc3f98c43d5,23/Apr/26 7:21 PM,23/Apr/26 7:21 PM,,,,0,Test ID: TCUA_81Preconditions:User has changed password from OldPass@1234 to NewPass@9999.Test Steps:Log out from the accountTest Data:—Expected Result:NoneActual Result:NoneStatus:Pass,,GonDy,639231f200cb2fc3f98c43d5,,,,,,,,,,,,,,,,,,,,,,0|i000qv:,,,,,To Do,23/Apr/26 7:21 PM
Verify that the user can log in with the new password after changing it,DG-109,10383,Task,To Do,DG,LambdaTest,software,Ziad Mohey,712020:7bd7cf13-1eba-45c7-889f-d8a6377a3cd8,,Medium,,,,GonDy,639231f200cb2fc3f98c43d5,GonDy,639231f200cb2fc3f98c43d5,23/Apr/26 7:21 PM,23/Apr/26 7:21 PM,,,,0,Test ID: TCUA_80Preconditions:User has successfully changed password to NewPass@9999.Test Steps:Log out from the accountTest Data:—Expected Result:NoneActual Result:NoneStatus:Pass,,GonDy,639231f200cb2fc3f98c43d5,,,,,,,,,,,,,,,,,,,,,,0|i000qn:,,,,,To Do,23/Apr/26 7:21 PM
Verify that an error is shown when password is below minimum length,DG-108,10382,Task,To Do,DG,LambdaTest,software,Ziad Mohey,712020:7bd7cf13-1eba-45c7-889f-d8a6377a3cd8,,Medium,,,,GonDy,639231f200cb2fc3f98c43d5,GonDy,639231f200cb2fc3f98c43d5,23/Apr/26 7:21 PM,23/Apr/26 7:21 PM,,,,0,Test ID: TCUA_79Preconditions:User is on the Change Password page.Test Steps:Enter a short passwordTest Data:123Expected Result:NoneActual Result:NoneStatus:Pass,,GonDy,639231f200cb2fc3f98c43d5,,,,,,,,,,,,,,,,,,,,,,0|i000qf:,,,,,To Do,23/Apr/26 7:21 PM
Verify that an error is shown when Password field is empty,DG-107,10381,Task,To Do,DG,LambdaTest,software,Ziad Mohey,712020:7bd7cf13-1eba-45c7-889f-d8a6377a3cd8,,Medium,,,,GonDy,639231f200cb2fc3f98c43d5,GonDy,639231f200cb2fc3f98c43d5,23/Apr/26 7:21 PM,23/Apr/26 7:21 PM,,,,0,Test ID: TCUA_78Preconditions:User is on the Change Password page.Test Steps:Leave Password field emptyTest Data:(empty)Expected Result:NoneActual Result:NoneStatus:Pass,,GonDy,639231f200cb2fc3f98c43d5,,,,,,,,,,,,,,,,,,,,,,0|i000q7:,,,,,To Do,23/Apr/26 7:21 PM
Verify that an error is shown when Password and Confirm do not match,DG-106,10380,Task,To Do,DG,LambdaTest,software,Ziad Mohey,712020:7bd7cf13-1eba-45c7-889f-d8a6377a3cd8,,Medium,,,,GonDy,639231f200cb2fc3f98c43d5,GonDy,639231f200cb2fc3f98c43d5,23/Apr/26 7:21 PM,23/Apr/26 7:21 PM,,,,0,Test ID: TCUA_77Preconditions:User is on the Change Password page.Test Steps:Enter a new passwordTest Data:NewPass@9999Expected Result:NoneActual Result:NoneStatus:Pass,,GonDy,639231f200cb2fc3f98c43d5,,,,,,,,,,,,,,,,,,,,,,0|i000pz:,,,,,To Do,23/Apr/26 7:21 PM
Verify that user can change password successfully with valid data,DG-105,10379,Task,To Do,DG,LambdaTest,software,Ziad Mohey,712020:7bd7cf13-1eba-45c7-889f-d8a6377a3cd8,,Medium,,,,GonDy,639231f200cb2fc3f98c43d5,GonDy,639231f200cb2fc3f98c43d5,23/Apr/26 7:21 PM,23/Apr/26 7:21 PM,,,,0,Test ID: TCUA_76Preconditions:User is on the Change Password page.Test Steps:Enter a new password in the Password fieldTest Data:NewPass@9999Expected Result:NoneActual Result:NoneStatus:Pass,,GonDy,639231f200cb2fc3f98c43d5,,,,,,,,,,,,,,,,,,,,,,0|i000pr:,,,,,To Do,23/Apr/26 7:21 PM
Verify that the Change Password page loads correctly,DG-104,10378,Task,To Do,DG,LambdaTest,software,Ziad Mohey,712020:7bd7cf13-1eba-45c7-889f-d8a6377a3cd8,,Medium,,,,GonDy,639231f200cb2fc3f98c43d5,GonDy,639231f200cb2fc3f98c43d5,23/Apr/26 7:21 PM,23/Apr/26 7:21 PM,,,,0,Test ID: TCUA_75Preconditions:User is logged in.Test Steps:Navigate to My Account pageTest Data:—Expected Result:NoneActual Result:NoneStatus:Pass,,GonDy,639231f200cb2fc3f98c43d5,,,,,,,,,,,,,,,,,,,,,,0|i000pj:,,,,,To Do,23/Apr/26 7:21 PM
Verify that user can update account information successfully,DG-103,10377,Task,To Do,DG,LambdaTest,software,Ziad Mohey,712020:7bd7cf13-1eba-45c7-889f-d8a6377a3cd8,,Medium,,,,GonDy,639231f200cb2fc3f98c43d5,GonDy,639231f200cb2fc3f98c43d5,23/Apr/26 7:21 PM,23/Apr/26 7:21 PM,,,,0,Test ID: TCUA_74Preconditions:User is on the Edit Account page.Test Steps:Clear and update the First Name fieldTest Data:AliExpected Result:NoneActual Result:NoneStatus:Pass,,GonDy,639231f200cb2fc3f98c43d5,,,,,,,,,,,,,,,,,,,,,,0|i000pb:,,,,,To Do,23/Apr/26 7:21 PM
Verify the Back button functionality on Edit Account page,DG-102,10376,Task,To Do,DG,LambdaTest,software,Ziad Mohey,712020:7bd7cf13-1eba-45c7-889f-d8a6377a3cd8,,Medium,,,,GonDy,639231f200cb2fc3f98c43d5,GonDy,639231f200cb2fc3f98c43d5,23/Apr/26 7:21 PM,23/Apr/26 7:21 PM,,,,0,Test ID: TCUA_73Preconditions:User is on the Edit Account page.Test Steps:Clear and update the First Name fieldTest Data:AliExpected Result:NoneActual Result:NoneStatus:Pass,,GonDy,639231f200cb2fc3f98c43d5,,,,,,,,,,,,,,,,,,,,,,0|i000p3:,,,,,To Do,23/Apr/26 7:21 PM
Verify that an error is shown when Email is changed to an already registered email,DG-101,10375,Task,To Do,DG,LambdaTest,software,Ziad Mohey,712020:7bd7cf13-1eba-45c7-889f-d8a6377a3cd8,,Medium,,,,GonDy,639231f200cb2fc3f98c43d5,GonDy,639231f200cb2fc3f98c43d5,23/Apr/26 7:21 PM,23/Apr/26 7:21 PM,,,,0,Test ID: TCUA_72Preconditions:Another account exists with the email other@test.com.Test Steps:Clear the E-Mail field and enter the already registered emailTest Data:other@test.comExpected Result:NoneActual Result:NoneStatus:Pass,,GonDy,639231f200cb2fc3f98c43d5,,,,,,,,,,,,,,,,,,,,,,0|i000ov:,,,,,To Do,23/Apr/26 7:21 PM
Verify that an error is shown when Email is changed to an invalid format,DG-100,10374,Task,To Do,DG,LambdaTest,software,Ziad Mohey,712020:7bd7cf13-1eba-45c7-889f-d8a6377a3cd8,,Medium,,,,GonDy,639231f200cb2fc3f98c43d5,GonDy,639231f200cb2fc3f98c43d5,23/Apr/26 7:21 PM,23/Apr/26 7:21 PM,,,,0,Test ID: TCUA_71Preconditions:User is on the Edit Account page.Test Steps:Clear the E-Mail field and enter an invalid emailTest Data:notanemailExpected Result:NoneActual Result:NoneStatus:Pass,,GonDy,639231f200cb2fc3f98c43d5,,,,,,,,,,,,,,,,,,,,,,0|i000on:,,,,,To Do,23/Apr/26 7:21 PM
Verify that an error is shown when First Name is cleared and form is saved,DG-99,10373,Task,To Do,DG,LambdaTest,software,Ziad Mohey,712020:7bd7cf13-1eba-45c7-889f-d8a6377a3cd8,,Medium,,,,GonDy,639231f200cb2fc3f98c43d5,GonDy,639231f200cb2fc3f98c43d5,23/Apr/26 7:21 PM,23/Apr/26 7:21 PM,,,,0,Test ID: TCUA_70Preconditions:User is on the Edit Account page.Test Steps:Clear the First Name fieldTest Data:(empty)Expected Result:NoneActual Result:NoneStatus:Pass,,GonDy,639231f200cb2fc3f98c43d5,,,,,,,,,,,,,,,,,,,,,,0|i000of:,,,,,To Do,23/Apr/26 7:21 PM
Verify that Edit Account page loads with pre-filled user data,DG-98,10372,Task,To Do,DG,LambdaTest,software,Ziad Mohey,712020:7bd7cf13-1eba-45c7-889f-d8a6377a3cd8,,Medium,,,,GonDy,639231f200cb2fc3f98c43d5,GonDy,639231f200cb2fc3f98c43d5,23/Apr/26 7:21 PM,23/Apr/26 7:21 PM,,,,0,Test ID: TCUA_69Preconditions:User is logged in.Test Steps:Navigate to My Account pageTest Data:—Expected Result:NoneActual Result:NoneStatus:Pass,,GonDy,639231f200cb2fc3f98c43d5,,,,,,,,,,,,,,,,,,,,,,0|i000o7:,,,,,To Do,23/Apr/26 7:21 PM
Verify that all My Affiliate Account section links are clickable and navigate correctly,DG-97,10371,Task,To Do,DG,LambdaTest,software,Ziad Mohey,712020:7bd7cf13-1eba-45c7-889f-d8a6377a3cd8,,Medium,,,,GonDy,639231f200cb2fc3f98c43d5,GonDy,639231f200cb2fc3f98c43d5,23/Apr/26 7:21 PM,23/Apr/26 7:21 PM,,,,0,Test ID: TCUA_68Preconditions:User is logged in and on the My Account page.Test Steps:Navigate to My Account pageTest Data:—Expected Result:NoneActual Result:NoneStatus:Pass,,GonDy,639231f200cb2fc3f98c43d5,,,,,,,,,,,,,,,,,,,,,,0|i000nz:,,,,,To Do,23/Apr/26 7:21 PM
Verify that the breadcrumb navigation displays correctly,DG-96,10370,Task,To Do,DG,LambdaTest,software,Ziad Mohey,712020:7bd7cf13-1eba-45c7-889f-d8a6377a3cd8,,Medium,,,,GonDy,639231f200cb2fc3f98c43d5,GonDy,639231f200cb2fc3f98c43d5,23/Apr/26 7:21 PM,23/Apr/26 7:21 PM,,,,0,Test ID: TCUA_67Preconditions:User is logged in.Test Steps:Navigate to My Account pageTest Data:—Expected Result:NoneActual Result:NoneStatus:Pass,,GonDy,639231f200cb2fc3f98c43d5,,,,,,,,,,,,,,,,,,,,,,0|i000nr:,,,,,To Do,23/Apr/26 7:21 PM
Verify that the sidebar navigation links all work correctly,DG-95,10369,Task,To Do,DG,LambdaTest,software,Ziad Mohey,712020:7bd7cf13-1eba-45c7-889f-d8a6377a3cd8,,Medium,,,,GonDy,639231f200cb2fc3f98c43d5,GonDy,639231f200cb2fc3f98c43d5,23/Apr/26 7:21 PM,23/Apr/26 7:21 PM,,,,0,Test ID: TCUA_66Preconditions:User is logged in and on the My Account page.Test Steps:Navigate to My Account pageTest Data:—Expected Result:NoneActual Result:NoneStatus:Pass,,GonDy,639231f200cb2fc3f98c43d5,,,,,,,,,,,,,,,,,,,,,,0|i000nj:,,,,,To Do,23/Apr/26 7:21 PM
Verify that all My Orders section links are clickable and navigate correctly,DG-94,10368,Task,To Do,DG,LambdaTest,software,Ziad Mohey,712020:7bd7cf13-1eba-45c7-889f-d8a6377a3cd8,,Medium,,,,GonDy,639231f200cb2fc3f98c43d5,GonDy,639231f200cb2fc3f98c43d5,23/Apr/26 7:21 PM,23/Apr/26 7:21 PM,,,,0,Test ID: TCUA_65Preconditions:User is logged in and on the My Account page.Test Steps:Navigate to My Account pageTest Data:—Expected Result:NoneActual Result:NoneStatus:Pass,,GonDy,639231f200cb2fc3f98c43d5,,,,,,,,,,,,,,,,,,,,,,0|i000nb:,,,,,To Do,23/Apr/26 7:21 PM
Verify that all My Account section links are clickable and navigate correctly,DG-93,10367,Task,To Do,DG,LambdaTest,software,Ziad Mohey,712020:7bd7cf13-1eba-45c7-889f-d8a6377a3cd8,,Medium,,,,GonDy,639231f200cb2fc3f98c43d5,GonDy,639231f200cb2fc3f98c43d5,23/Apr/26 7:21 PM,23/Apr/26 7:21 PM,,,,0,Test ID: TCUA_64Preconditions:User is logged in and on the My Account page.Test Steps:Navigate to My Account pageTest Data:—Expected Result:NoneActual Result:NoneStatus:Pass,,GonDy,639231f200cb2fc3f98c43d5,,,,,,,,,,,,,,,,,,,,,,0|i000n3:,,,,,To Do,23/Apr/26 7:21 PM
Verify that My Account page loads correctly with all sections visible,DG-92,10366,Task,To Do,DG,LambdaTest,software,Ziad Mohey,712020:7bd7cf13-1eba-45c7-889f-d8a6377a3cd8,,Medium,,,,GonDy,639231f200cb2fc3f98c43d5,GonDy,639231f200cb2fc3f98c43d5,23/Apr/26 7:21 PM,23/Apr/26 7:21 PM,,,,0,"Test ID: TCUA_63Preconditions:User is logged in.Test Steps:Navigate to My Account pageTest Data:—Expected Result:My Account, My Orders, and My Affiliate Account sections all display correctly with all icons and links visible.Actual Result:My Account, My Orders, and My Affiliate Account sections all display correctly with all icons and links visible.Status:Pass",,GonDy,639231f200cb2fc3f98c43d5,,,,,,,,,,,,,,,,,,,,,,0|i000mv:,,,,,To Do,23/Apr/26 7:21 PM
Verify that Order History page shows a message when no orders exist,DG-91,10365,Task,To Do,DG,LambdaTest,software,Ziad Mohey,712020:7bd7cf13-1eba-45c7-889f-d8a6377a3cd8,,Medium,,,,GonDy,639231f200cb2fc3f98c43d5,GonDy,639231f200cb2fc3f98c43d5,23/Apr/26 7:21 PM,23/Apr/26 7:21 PM,,,,0,Test ID: TCUA_62Preconditions:User is logged in and has never placed an order.Test Steps:Navigate to Order History pageTest Data:—Expected Result:A message 'No Results' appears indicating no orders have been placed yet.Actual Result:A message 'No Results' appears indicating no orders have been placed yet.Status:Pass,,GonDy,639231f200cb2fc3f98c43d5,,,,,,,,,,,,,,,,,,,,,,0|i000mn:,,,,,To Do,23/Apr/26 7:21 PM
Verify that user can view the details of a past order,DG-90,10364,Task,To Do,DG,LambdaTest,software,Ziad Mohey,712020:7bd7cf13-1eba-45c7-889f-d8a6377a3cd8,,Medium,,,,GonDy,639231f200cb2fc3f98c43d5,GonDy,639231f200cb2fc3f98c43d5,23/Apr/26 7:21 PM,23/Apr/26 7:21 PM,,,,0,Test ID: TCUA_61Preconditions:User has at least one past order.Test Steps:Navigate to Order History pageTest Data:—Expected Result:NoneActual Result:NoneStatus:Pass,,GonDy,639231f200cb2fc3f98c43d5,,,,,,,,,,,,,,,,,,,,,,0|i000mf:,,,,,To Do,23/Apr/26 7:21 PM
Verify that Order History page loads correctly,DG-89,10363,Task,To Do,DG,LambdaTest,software,Ziad Mohey,712020:7bd7cf13-1eba-45c7-889f-d8a6377a3cd8,,Medium,,,,GonDy,639231f200cb2fc3f98c43d5,GonDy,639231f200cb2fc3f98c43d5,23/Apr/26 7:21 PM,23/Apr/26 7:21 PM,,,,0,Test ID: TCUA_60Preconditions:User is logged in.Test Steps:Navigate to My Account pageTest Data:—Expected Result:NoneActual Result:NoneStatus:Pass,,GonDy,639231f200cb2fc3f98c43d5,,,,,,,,,,,,,,,,,,,,,,0|i000m7:,,,,,To Do,23/Apr/26 7:21 PM
Verify that an email with special characters in domain is rejected,DG-88,10362,Task,To Do,DG,LambdaTest,software,Ziad Mohey,712020:7bd7cf13-1eba-45c7-889f-d8a6377a3cd8,,Medium,,,,GonDy,639231f200cb2fc3f98c43d5,GonDy,639231f200cb2fc3f98c43d5,23/Apr/26 7:21 PM,23/Apr/26 7:21 PM,,,,0,Test ID: TCUA_58Preconditions:User is on the Forgotten Password page.Test Steps:Enter an email with invalid domain charactersTest Data:test@domain!.comExpected Result:NoneActual Result:NoneStatus:Pass,,GonDy,639231f200cb2fc3f98c43d5,,,,,,,,,,,,,,,,,,,,,,0|i000lz:,,,,,To Do,23/Apr/26 7:21 PM
